date,description,counterparty,amount,currency,account,ref
2025-01-01,WeWork dedicated desks — January,WeWork,1400.00,USD,Rent and occupancy,WW-2025-0101
2025-01-02,"Google Workspace Business Standard, 12 seats",Google LLC,180.00,USD,Software and hosting,GW-JAN-2025
2025-01-03,"Amazon Web Services, Inc. — December usage",AWS,1824.19,USD,Software and hosting,INV-AWS-JAN25
2025-01-05,Meridian Health Plan — Q1 premium,Meridian Health Plan,1842.00,USD,Health insurance,MH-Q1-2025
2025-01-08,Invoice INV-2025-001 — Atlas platform design,Acme Robotics Inc.,12500.00,USD,Sales — services,INV-2025-001
2025-01-11,"Figma organisation seats, annual","Figma, Inc.",1080.00,USD,Software and hosting,FIG-2025-4471
2025-01-15,Invoice INV-2025-002 — care portal retainer,Bluepeak Health Systems,8400.00,USD,Sales — services,INV-2025-002
2025-01-20,"State Farm business liability, annual premium",State Farm,1260.00,USD,Insurance,97-BL-4471-08
2025-01-22,"Raman Consulting — data layer, invoice 0031",Raman Consulting,4500.00,USD,Contract labour,0031
2025-01-28,"MacBook Pro 16-inch, order W1882043",Apple Inc.,2899.00,USD,Equipment,W1882043
2025-02-01,WeWork dedicated desks — February,WeWork,1400.00,USD,Rent and occupancy,WW-2025-0201
2025-02-02,"Google Workspace Business Standard, 12 seats",Google LLC,180.00,USD,Software and hosting,GW-FEB-2025
2025-02-03,"Amazon Web Services, Inc. — January usage",AWS,2014.55,USD,Software and hosting,INV-AWS-FEB25
2025-02-04,Invoice INV-2025-003 — brand system,Cormorant Ventures LP,15000.00,USD,Sales — services,INV-2025-003
2025-02-06,"Adobe Creative Cloud, All Apps team licence",Adobe Inc.,59.99,USD,Software and hosting,ADB-88214
2025-02-08,Invoice INV-2025-004 — Atlas retainer,Acme Robotics Inc.,12500.00,USD,Sales — services,INV-2025-004
2025-02-11,"Staples — paper, ink, filing",Staples,87.43,USD,Office supplies,4471-0092
2025-02-14,"Verizon Wireless — three lines, mixed use",Verizon Wireless,128.77,USD,Telephone and internet,9824411700001
2025-02-15,Invoice INV-2025-005 — care portal retainer,Bluepeak Health Systems,8400.00,USD,Sales — services,INV-2025-005
2025-02-18,"Day pass, booked as ""team offsite""",Ridgeline Coworking,45.00,USD,Rent and occupancy,RC-DP-0218
2025-02-19,"Harbor Legal LLP — MSA review, matter 2025-0114",Harbor Legal LLP,950.00,USD,Legal and professional,2291
2025-02-21,"Northgate Print Works — brochures, cards, banner",Northgate Print Works,927.00,USD,Advertising and marketing,4471
2025-02-27,"Whole Foods Market, Pearl District",Whole Foods Market,142.88,USD,Uncategorised — to review,WFM-0227
2025-02-28,"Stripe processing fees, February payout",Stripe,611.20,USD,Merchant and bank fees,po_1QxNwFeb25
2025-03-01,WeWork dedicated desks — March,WeWork,1400.00,USD,Rent and occupancy,WW-2025-0301
2025-03-02,"Google Workspace Business Standard, 12 seats",Google LLC,180.00,USD,Software and hosting,GW-MAR-2025
2025-03-03,"Amazon Web Services, Inc. — February usage",AWS,2190.44,USD,Software and hosting,INV-AWS-MAR25
2025-03-03,"Delta Air Lines — PDX/SFO/PDX, M. Whitfield",Delta Air Lines,612.40,USD,Travel,0062418833901
2025-03-04,"Cascade Kitchen — client lunch, 4 covers",Cascade Kitchen,214.60,USD,Meals and entertainment,CK-0318
2025-03-05,Hyatt Regency San Francisco — 2 nights,Hyatt Regency,884.00,USD,Travel,884213
2025-03-05,"Hetzner Online GmbH — server hosting, February",Hetzner Online GmbH,89.00,USD,Software and hosting,R0025883149
2025-03-06,Invoice INV-2025-006 — logistics dashboard,Delta Freight Co.,6750.00,USD,Sales — services,INV-2025-006
2025-03-10,"Raman Consulting — reporting, invoice 0034",Raman Consulting,3200.00,USD,Contract labour,0034
2025-03-15,Invoice INV-2025-007 — care portal retainer,Bluepeak Health Systems,8400.00,USD,Sales — services,INV-2025-007
2025-03-18,Alvarez Motion — logo animation,Alvarez Motion,520.00,USD,Contract labour,TA-MAR-2025
2025-03-21,"Notion Labs — team subscription, March",Notion Labs,96.00,USD,Software and hosting,NL-2025-03
2025-03-24,Credit note CN-2025-001 — scope reduction,Delta Freight Co.,-750.00,USD,Sales returns and allowances,CN-2025-001
2025-03-27,Bright Anvil Labs — research sprint 25-Q1-03,Bright Anvil Labs,3400.00,USD,Contract labour,0442
